t;x;y;q
1316;-13.6;-35.3;-0.9
1318;-13.4;-34.4;-1.5
1320;-13.6;-34.2;-1.9
1322;-13.8;-34.3;-1
1324;-13.6;-34.4;-1.8
1326;-13.5;-34.9;-1.2
1328;-13.8;-35;-1
1330;-13.6;-34.7;-2.2
1332;-13.7;-34.9;-0.6
1334;-13.8;-34.9;-1.8
1336;-13.7;-34.8;-1.9
1338;-13.5;-35;-1
1340;-13.9;-35.6;-1.8
1342;-13.6;-34.9;-1.1
1344;-13.9;-34.9;-1.4
1346;-13.6;-34.4;-1.5
1348;-13.7;-34.3;-1.4
1350;-14;-35.6;-1.2
1352;-14;-35.8;-1.2
1354;-13.9;-35.4;-1.6
1356;-13.7;-34.1;-1.3
1358;-13.6;-34;-1.3
1360;-13.8;-35;-1.7
1362;-13.4;-34.9;-1.5
1364;-13.3;-34.8;-1.3
1366;-13.7;-35;-1.7
1368;-13.8;-34.9;-1.1
1370;-13.4;-33.9;-1.7
1372;-13.7;-34.7;-1.5
1374;-13.5;-34.9;-1.1
1376;-13.9;-35;-1.4
1378;-13.5;-34;-1.2
1380;-13.6;-33.9;-1.3
1382;-13.7;-34.6;-1.8
1384;-13.7;-35.1;-1.6
1386;-13.4;-34.9;-1.6
1388;-13.7;-35;-1
1390;-13.5;-34.6;-1.7
1392;-13.6;-34;-1.9
1394;-13.8;-35.1;-1.1
1396;-13.8;-35.6;-1.6
1398;-13.9;-35.7;-1.8
1400;-13.8;-35.1;-0.7
1402;-13.5;-34.1;-2.1
1404;-13.6;-34.3;-1.4
1406;-13.6;-34.9;-0.7
1408;-13.4;-34.9;-2.2
1410;-14;-35.4;-1
1412;-13.5;-34;-1.6
1414;-13.7;-34.4;-1.7
1416;-13.7;-34.8;-1
1418;-13.7;-35.6;-1.3
1420;-13.7;-35.6;-1.6
1422;-13.8;-34.9;-1.3
1424;-14;-34.7;-1.3
1426;-13.7;-34.4;-1.4
1428;-13.9;-35.4;-1.1
1430;-13.9;-35.6;-1.7
1432;-13.9;-35.7;-1.2
1434;-13.9;-34.8;-1.5
1436;-13.6;-34;-1.5
1438;-13.7;-34.3;-1.3
1440;-13.7;-35.1;-2
1442;-13.6;-35.2;-1.5
1444;-13.7;-35.3;-1.2
1446;-13.6;-34.3;-2.2
1448;-13.6;-34.6;-1.4
1450;-13.5;-34.6;-1.4
1452;-13.5;-35.3;-1.9
1454;-13.9;-35.6;-1.2
1456;-13.8;-34.5;-1.4
1458;-13.7;-34.4;-1.9
1460;-13.4;-34.4;-0.7
1462;-13.7;-35.6;-1.6
1464;-13.9;-35.9;-1.6
1466;-13.5;-34.9;-1
1468;-13.6;-33.7;-1.8
1470;-13.7;-34.4;-1.3
1472;-13.6;-34.7;-1.4
1474;-13.5;-35;-2.1
1476;-13.6;-34.7;-1.2
1478;-13.6;-34.5;-1.4
1480;-13.4;-33.9;-1.9
